fiscalDateEnding,reportedCurrency,operatingCashflow,paymentsForOperatingActivities,proceedsFromOperatingActivities,changeInOperatingLiabilities,changeInOperatingAssets,depreciationDepletionAndAmortization,capitalExpenditures,changeInReceivables,changeInInventory,profitLoss,cashflowFromInvestment,cashflowFromFinancing,proceedsFromRepaymentsOfShortTermDebt,paymentsForRepurchaseOfCommonStock,paymentsForRepurchaseOfEquity,paymentsForRepurchaseOfPreferredStock,dividendPayout,dividendPayoutCommonStock,dividendPayoutPreferredStock,proceedsFromIssuanceOfCommonStock,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet,proceedsFromIssuanceOfPreferredStock,proceedsFromRepurchaseOfEquity,proceedsFromSaleOfTreasuryStock,changeInCashAndCashEquivalents,changeInExchangeRate,netIncome,Ticker
2024-12-31,USD,481400000,0,0,0,0,321300000,147300000,0,0,0,0,-260300000,0,0,0,0,0,0,0,0,0,0,-652000000,0,0,0,309600000,WEX
2023-12-31,USD,907900000,0,0,0,0,276200000,143600000,0,0,0,0,1573300000,0,0,0,0,1,1,0,0,0,0,-303400000,0,0,0,266600000,WEX
2022-12-31,USD,679425000,0,0,0,0,263868000,116213000,0,0,0,-716654000,681259000,0,0,0,0,4952000,4952000,0,0,0,0,-282800000,0,0,0,167461000,WEX
2021-12-31,USD,150398000,0,0,0,0,272641000,86041000,0,959128000,0,-1601106000,1403269000,0,0,0,0,20740000,20740000,0,0,0,0,-23457000,0,-47439000,0,136139000,WEX
2020-12-31,USD,857019000,0,0,0,0,261926000,80471000,0,164804000,0,-329086000,-179256000,0,0,0,0,9519000,9519000,0,0,0,0,-9519000,0,348677000,0,-280484000,WEX
2019-12-31,USD,663171000,0,0,0,0,237129000,102860000,0,67645000,0,-990614000,749773000,0,0,0,0,5411000,5411000,0,0,0,0,-10352000,0,422330000,0,155293000,WEX
2018-12-31,USD,400229000,0,0,0,0,199805000,87152000,0,68255000,0,-254175000,-102728000,0,0,0,0,0,0,0,0,0,0,-12372000,0,32646000,-10680000,169776000,WEX
2017-12-31,USD,132949000,0,0,0,0,203724000,79276000,-542017000,-2378000,0,-163501000,359385000,0,0,0,0,0,0,0,0,0,0,-9527000,0,317142000,-11691000,159170000,WEX
2016-12-31,USD,-151131000,0,0,0,0,141651000,65799000,-436071000,-1042000,0,-1160439000,1216081000,0,0,0,0,0,0,0,0,0,0,-2200000,0,-89059000,6430000,57476000,WEX
2015-12-31,USD,445100000,0,0,0,0,86174000,63491000,199717000,9033000,0,-126658000,-319538000,0,0,0,0,0,0,0,0,0,0,-22011000,0,-4774000,-3678000,109612000,WEX
2014-12-31,USD,296413000,0,0,0,0,73022000,58133000,55883000,29263000,0,-904034000,526707000,0,0,0,0,0,0,0,0,0,0,-19765000,0,-76723000,4191000,200018000,WEX
2013-12-31,USD,39551000,0,0,0,0,60563000,39455000,-194418000,25500000,0,-51342000,179242000,0,0,0,0,0,0,0,0,0,0,-17911000,0,163824000,-3627000,148298000,WEX
2012-12-31,USD,71811000,0,0,0,0,50267000,28036000,-86763000,-1582000,0,-429824000,529564000,0,0,0,0,0,0,0,0,0,0,-11288000,0,171871000,320000,96709000,WEX
2011-12-31,USD,51168000,0,0,0,0,48112000,28489000,-198417000,-1815000,0,-40504000,-2583000,0,0,0,0,0,0,0,0,0,0,-2551000,0,7746000,-335000,133622000,WEX
2010-12-31,USD,-10550000,0,0,0,0,31504000,28944000,-236100000,-2146000,0,-367434000,356339000,0,0,0,0,0,0,0,0,0,0,-18357000,0,-21259000,386000,87629000,WEX
2009-12-31,USD,-33167000,0,0,0,0,22559000,17848000,0,-19965000,0,0,-94883000,0,0,0,0,0,0,0,0,0,0,-7732000,0,0,0,139659000,WEX
2008-12-31,USD,339179000,0,0,0,0,20588000,16155000,0,-1105000,0,0,-138202000,0,0,0,0,0,0,0,0,0,0,-41256000,0,0,0,127640000,WEX
2007-12-31,USD,-92089000,0,0,0,0,15719000,16624000,0,6756000,0,0,160780000,0,0,0,0,10805000,10805000,0,0,0,0,-37711000,0,0,0,51577000,WEX
2006-12-31,USD,60449000,0,0,0,0,12081000,12474000,0,7981000,0,0,13859000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74609000,WEX
2005-12-31,USD,-40942000,0,0,0,0,11100000,11017000,0,52267000,0,0,68234000,0,0,0,0,305887000,305887000,0,0,0,0,0,0,0,0,18653000,WEX
